playlist_id,playlist_owner,playlist,id,name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,key_confidence,mode_confidence,tempo_confidence,time_signature_confidence,end_of_fade_in,start_of_fade_out,mood
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,05ABOPiW13nqIedJfqmfPM,rubberband,0.32,0.64,147713,0.593,0,10,0.104,-6.068,1,0.0431,155.08,4,0.432,0.404,0.468,0.166,0.945,0.12159,139.1804,Angry
37i9dQZF1DWSf2RDTDayIx,Spotify,Happy Beats,1O3Jlr6ksM6meUe1atDAxY,You Got The Love,0.105,0.519,196685,0.761,0.00000648,8,0.103,-3.618,1,0.0445,124.947,4,0.309,0.39,0.55,0.406,0.984,2.18848,186.8742,Happy
37i9dQZF1DWX83CujKHHOn,Spotify,Alone Again,3ioJ2eGWcONEvna37MpsiE,Stone Cold,0.5,0.41,191308,0.462,0,8,0.0975,-7.534,1,0.0515,139.861,3,0.354,0.467,0.618,0.099,1,0.31329,176.22784,Sad
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,16zKFMyWWEy6eo0L1ez59R,Hooch,0.0399,0.653,144998,0.679,0,7,0.325,-6.268,0,0.0529,136.067,4,0.744,0.215,0.206,0.679,0.471,0.15664,139.7551,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,1BbXlbs8pWeYI2yGpGhuzA,Erase,0.47,0.279,253240,0.542,0.601,1,0.0888,-11.962,1,0.0494,123.846,4,0.163,0.717,0.616,0.254,1,0.16703,247.32735,Chill
37i9dQZF1DWW2hj3ZtMbuO,Spotify,sad girl starter pack,6LxcPUqx6noURdA5qc4BAT,Motion Sickness,0.774,0.652,229760,0.545,0.0428,1,0.0847,-9.021,1,0.0358,107.019,4,0.626,0.658,0.718,0.657,0.863,0,222.20335,Sad
37i9dQZF1DX6xZZEgC9Ubl,Spotify,tear drop,2kHrlDvECzPyjcbmSQNusl,F*ck Love,0.295,0.639,197368,0.446,0,6,0.181,-10.489,1,0.0378,76.004,4,0.363,0.73,0.724,0.424,1,0,191.97678,Sad
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,5kcvBnt6DPX3AMEsCx1qDh,Happiest Year,0.885,0.501,228443,0.167,0,1,0.111,-14.061,1,0.0484,112.275,3,0.356,0.71,0.78,0.094,0.045,0.22077,205.07864,Angry
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,49oBFP6ZHPtd6t33LFTD3E,Good Vibes,0.022,0.582,165587,0.846,0,0,0.133,-2.771,1,0.0451,92.004,4,0.736,0.761,0.64,0.15,1,0.16844,160.62984,Energetic
37i9dQZF1DX0vHZ8elq0UK,Spotify,Energy Booster: Pop,0iGckQFyv6svOfAbAY9aWJ,Hot N Cold,0.0000795,0.706,220227,0.841,0,7,0.0688,-3.956,1,0.0418,132.032,4,0.861,0.762,0.701,0.978,1,0,209.7981,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,0ycteGsaJrAlhOh1hEBH5X,MINDGAMES - (JYRYMY REMIX),0.574,0.625,235537,0.566,0.0053,1,0.0999,-7.877,1,0.206,121.085,4,0.181,0.256,0.46,0.694,0.983,0.06467,230.71927,Chill
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,1yoKxDLsg38FSRJv60NIo3,County Roads,0.0463,0.658,191765,0.813,0,8,0.388,-3.305,1,0.0486,116.06,4,0.518,0.95,0.741,0.737,0.92,0.20295,188.42413,Energetic
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,727Z2S2mtNH46CbP9EWPwY,If You Love Her,0.355,0.286,217352,0.445,0,6,0.114,-8.087,1,0.0347,50.827,4,0.278,0.569,0.599,0.027,0.17,0.36571,211.33061,Angry
37i9dQZF1DWW2hj3ZtMbuO,Spotify,sad girl starter pack,74bUxOci813SLIX066YrAi,FUNHAUS,0.00516,0.637,283714,0.519,0.236,1,0.169,-12.182,1,0.0317,139.976,4,0.611,0.399,0.452,0.877,1,0,276.4974,Sad
37i9dQZF1DWX83CujKHHOn,Spotify,Alone Again,6nat4Z7iRKWVk1qngQqI0Q,Perfectly Wrong,0.872,0.361,212773,0.311,0,2,0.0987,-11.748,0,0.0369,89.362,4,0.323,0.481,0.589,0.048,0.358,0.48245,189.7941,Sad
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,44xWtabQzBHKXxD0UVLSNQ,Last Name,0.194,0.395,241053,0.869,0,3,0.0874,-3.154,1,0.109,159.833,4,0.688,0.345,0.517,0.321,0.829,0.16834,237.01189,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,5J54xW5p85niQOxeq7GiD5,Silence,0.0492,0.59,245881,0.792,0.867,0,0.127,-8.376,0,0.0461,121.033,4,0.05,0.387,0.413,0.512,0.886,0.22186,241.02313,Chill
